id,name,city,city2,country,description,imageCredit,imageCreditLink,state,stateShort,nameEnglish,name2,city3,code
ABZ,Aberdeen International Airport,Aberdeen,Dyce,UK,"Opened in 1934, Aberdeen International is located in the suburb of Dyce and serves the city of *Ab*erdeen. Its three-letter code is completed with a filler letter ‘*Z*’.",Gregory Deryckère,http://commons.wikimedia.org/wiki/File:Aberdeen_Airport_terminal_close_up_23-03-11.JPG,Scotland,,,,,
ACA,Aeropuerto Internacional General Juan N. Álvarez,Acapulco,,Mexico,"Named after Juan Álvarez, military general and interim President of Mexico, Acapulco International is an important tourist gateway for the resorts and beaches of *Aca*pulco.",jarnocan,https://www.flickr.com/photos/jarnocan/,Guerrero,GR,General Juan N. Álvarez International Airport,,,
ACC,Kotoka International Airport,Accra,,Ghana,"Kotoka International is named after Lieutenant General Emmanuel Kwasi Kotoka and is the only international airport in Ghana. Its airport code comes from the city it serves, *Acc*ra.",Rjruiziii,"http://commons.wikimedia.org/wiki/File:Kotoka_International_Airport,_Accra,_Ghana.JPG",,,,,,
ACE,Aeropuerto de Lanzarote,Lanzarote,Arrecife,Spain,Lanzarote Airport began accepting civil traffic in 1946. It serves the island of Lanzarote and gets its airport code from the nearby city of *A*rre*c*if*e*.,unai Pascual Loyarte,https://www.flickr.com/photos/unaipascual/,Canary Islands,,,,,
ACK,Nantucket Memorial Airport,Nantucket,,USA,"When airport codes switched from two letters to three, the U.S. Navy reserved all codes starting with ‘N’. N*a*ntu*ck*et Memorial, then, used other letters in its name to get ACK.",thisisbossi,https://www.flickr.com/photos/thisisbossi/,Massachusetts,MA,,,,
ACY,Atlantic City International Airport,Atlantic City,Egg Harbor Township,USA,"Originally built in 1942 as a naval air station, *A*tlantic *C*it*y* International is now a joint civilian and military airfield and home to the Atlantic City Air National Guard Base.",US Air Force,https://www.flickr.com/photos/usairforce/,New Jersey,NJ,,,,
ADA,Adana Havalimanı,Adana,Çukurova,Turkey,"Adana Şakirpaşa Airport, located in *Ada*na, Turkey, is the sixth-busiest airport in the country, serving 5.6 million passengers in 2016.",Seyhan668,https://commons.wikimedia.org/wiki/File:Adana_Airport_arrivals.jpg,,,,,,
ADD,Addis Ababa Bole International Airport,Addis Ababa,Bole,Ethiopia,"Formerly Haile Selassie I Airport, Addis Ababa Bole International is located in the subcity of Bole and serves the capital city of *Add*is Ababa.",Vob08,http://commons.wikimedia.org/wiki/File:Bole_international_airport.jpg,,,,,,
ADL,Adelaide Airport,Adelaide,,Australia,"First established in 1955, the main airport for Adelaide, Australia gets its airport code from its home in *AD*e*L*aide.",Georgie Sharp,https://www.flickr.com/photos/georgiesharp/,South Australia,SA,,,,
AEP,Aeroparque Jorge Newbery,Buenos Aires,Palermo,Argentina,Jorge Newbery Airfield serves as the main airport for the city of Buenos Aires and is named after an Argentine aviator. Its airport code comes from its Spanish name *Ae*ro*p*arque Jorge Newbery.,Erik Araújo,https://www.flickr.com/photos/pzado/,,,Jorge Newbery Airfield,,,
AER,Sochi International Airport,Sochi,,Russia,Sochi International served as the main airport for the 22nd Winter Olympics held in Sochi in 2014. Its airport code comes from its home in the *A*dl*er*sky District.,Stefan Krasowski,https://www.flickr.com/photos/rapidtravelchai/,,,,,,
AES,"Ålesund lufthavn, Vigra",Ålesund,Vigra,Norway,"Officially opened in 1958, Ålesund Airport is located on the island of Vigra and serves the city of *Å*l*es*und.",Algkalv,http://commons.wikimedia.org/wiki/File:Alesund-lufthavn.jpg,,,"Alesund Airport, Vigra",,,
AEX,Alexandria International Airport,Alexandria,,USA,"Previously known as England Air Force Base, Alexandria International gets its three-letter code from its home in *A*l*ex*andria.",Robert Karma,https://www.flickr.com/photos/57873672@N07/,Louisiana,LA,,,,
AEY,Akureyrarflugvöllur,Akureyri,,Iceland,"A single-runway international airport in *A*kur*ey*ri, nothern Iceland.",jaime.silva,https://www.flickr.com/photos/20792787@N00/,,,,,,
AFW,Fort Worth Alliance Airport,Fort Worth,,USA,"Fort Worth Alliance Airport gets its three-letter code from its original name, *A*lliance Airport, serving *F*ort *W*orth.",Non-dropframe,https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport#/media/File:Ft.Worth-Alliance_airport_TOWER.jpg,Texas,TX,,,,
AGA,Agadir–Al Massira Airport,Agadir,,Morocco,"With a capacity of 3 million travelers per year, Agadir – Al Massira Airport gets its airport code from the city of *Aga*dir.",mhobl,https://www.flickr.com/photos/87106931@N00/,,,,,,
CSE,,,,,,,,,,,,,
JCY,,,,,,,,,,,,,
WLR,,,,,,,,,,,,,
AGB,Flughafen Augsburg,Augsburg,Affing,Germany,"Originally opened in 1968, Augsburg Airport is located in Affing and serves the city of *A*u*g*s*b*urg.",Markus Wichmann,https://www.flickr.com/photos/m2w2/,,,,,,
AGC,Allegheny County Airport,West Mifflin,Pittsburgh,USA,"Dedicated in 1931, Allegheny County Airport was originally designed to be Pittsburgh’s primary airport. Located in West Mifflin, it serves *A*lle*g*heny *C*ounty.",Shane Simmons,https://www.flickr.com/photos/avicennasis/,Pennsylvania,PA,,,,
AGP,Aeropuerto de Málaga-Costa del Sol,Málaga,Costa del Sol,Spain,"Located in Málaga, Costa del Sol Airport didn’t think MAL was a good option as “mal” means “bad” in Spanish. Instead, it opted to use letters from Mál*ag*a and a filler letter ‘*P*’.",Elliott Brown,https://www.flickr.com/photos/ell-r-brown/,,,,,,
AGS,Augusta Regional Airport,Augusta,,USA,"First established as a flight school for the U.S. military, Augusta Regional has become a significant hub for the Central Savannah River Area (CSRA). Its airport code comes from the city of *A*u*g*u*s*ta.",J. Stephen Conn,https://www.flickr.com/photos/jstephenconn/,Georgia,GA,,,,
AGU,Aeropuerto Internacional Lic. Jesús Terán Peredo,Aguascalientes,,Mexico,"Jesús Terán Peredo International is named after a former governor of *Agu*ascalientes, the city and state from which its airport code derives.",Luisalvaz,http://commons.wikimedia.org/wiki/File:Aeropuerto_Internacional_de_Aguascalientes_05.JPG,,AG,Lic. Jesús Terán Peredo International Airport,,,
AHB,Abha Regional Airport,Abha,,Saudi Arabia,"Opened in 1977, Abha Regional gets its three-letter airport code from rearranged letters in the city name of *Abh*a.",Mushabab Al-Murayeh,https://www.flickr.com/photos/53905292@N02/,Asir Province,,,,,
AJA,Aéroport d’Ajaccio-Napoléon-Bonaparte,Ajaccio,,France,"*Aja*ccio Napoleon Bonaparte Airport serves as the main gateway to the island of Corsica in the Mediterranean Sea. It is located directly at sea level close to the city of Ajaccio, which is also the birthplace of Napoleon Bonaparte.",Bribri2B,https://commons.wikimedia.org/wiki/File:A%C3%A9roport_Ajaccio_Corse.jpg,,,Ajaccio Napoleon Bonaparte Airport,,,
AJF,Al-Jawf Domestic Airport,Sakakah,Al-Jawf,Saudi Arabia,"Featuring a single runway, Al-Jawf Domestic Airport serves the city of Sakakah and gets its name and airport code from the city’s alternate name, *A*l-*J*aw*f*.",Joel Salazar,https://www.flickr.com/photos/joelsalazar/,Al Jawf Province,,,,,
AJL,Lengpui Airport,Aizawl,Aijal,India,Lengpui Airport gets its name from the nearby Lengpui Village. Its airport code comes from an alternate spelling of its home city of Aizawl: *A*i*j*a*l*.,Tluanga Colney,http://commons.wikimedia.org/wiki/File:Lengpui_Airport_Building.JPG,Mizoram,MZ,,,,
AJU,Aeroporto Aracaju–Santa Maria,Aracaju,,Brazil,"Officially inaugurated in 1958, Aracaju–Santa Maria Airport gets its three-letter code from its home in the city of *A*raca*ju*.",Jorge Pindorama,https://www.flickr.com/photos/viajor/,Sergipe,SE,Santa Maria,,,
GZO,,,,,,,,,,,,,
MNY,,,,,,,,,,,,,
PRS,,,,,,,,,,,,,
AKC,Akron Fulton International Airport,Akron,,USA,"Opened in 1929, Akron Fulton International is named after longtime manager Bain Ecarius “Shorty” Fulton. The code AKR was given to Akure Airport in Nigeria, so Akron uses AKC for *Ak*ron *C*ity.",jimmy_ray,https://www.flickr.com/photos/jrmcglone/,Ohio,OH,,,,
AKL,Auckland Airport,Auckland,Mangere,New Zealand,"Once the site for the Mangere Aerodrome, New Zealand’s busiest airport is located in Mangere, a suburb of *A*uc*kl*and.",mario_ruckh,https://www.flickr.com/photos/ruckh/,,,,,,
AKT,Royal Air Force Akrotiri,Akrotiri,,Cyprus,"Due to its proximity to the Middle East, RAF *Ak*ro*t*iri often serves as a launch base for British aircrafts into the region.",CPL Andy Benson,https://commons.wikimedia.org/wiki/File:Red_Arrows_flying_over_HMS_Illustrious._MOD_45147895.jpg,,,,,,
AKX,Aktobe Airport,Aktobe,,Kazakhstan,"Aktobe Airport gets its three-letter code from its home city of *Ak*tobe. It is completed with a letter ‘*X*’, often used as a filler letter.",Chen Zhao,https://www.flickr.com/photos/livepine/,,,,,,
ALA,Almaty International Airport,Almaty,,Kazakhstan,Almaty International is Kazakhstan’s largest international airport. It is located 15km northeast from the city of Almaty and was formerly known as *Al*ma-*A*ta Airport.,Vmenkov,http://commons.wikimedia.org/wiki/File:E8643-Almaty-Airport.jpg,,,,,,
ALB,Albany International Airport,Albany,Colonie,USA,"*Alb*any International was the first municipal airport in the United States. It is the major air center for the Capital Region, northeastern New York, and western New England.",Alan Levine,https://www.flickr.com/photos/cogdog/,New York,NY,,,,
ALC,Aeropuerto de Alicante-Elche,Alicante,Valencia,Spain,"Originally named El Altet, Alicante–Elche Airport is the sixth busiest airport in Spain. Located in Elche, it serves the cities of Valencia, Murcia, and *Al*i*c*ante.",Paul Thompson,https://www.flickr.com/photos/redspike/,,,,,,
ALG,Houari Boumediene Airport,Algiers,,Algeria,"Opened in 1924 as Maison Blanche Airport, Houari Boumediene Airport is now named after a former President of Algeria. Its airport code honors its home in the city of *Alg*iers.",Poudou99,http://commons.wikimedia.org/wiki/File:Aeroport_Houari_Boumediene_IMG_1381.JPG,,,,,,
ALS,San Luis Valley Regional Airport,Alamosa,,USA,"Opened in early 1941, it is owned by the City and County of *Al*amo*s*a and is named for Carl A. Bergman, a local businessman and initial supporter of the airport.",Mouser Williams,https://www.flickr.com/photos/mouser-nerdbot/,Colorado,CO,,,,
AMA,Rick Husband Amarillo International Airport,Amarillo,,USA,"Opened in 1929 as English Field, Amarillo Airport was renamed in 2003 to honor Rick Husband, NASA astronaut who died in the Space Shuttle Columbia disaster. Its code honors the city of *Ama*rillo.",Wesley Fryer,https://www.flickr.com/photos/wfryer/,Texas,TX,,,,
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,,India,Sardar Vallabhbhai Patel International is named after India’s first Deputy Prime Minister. Its airport code honors its home in the beautiful city of *A*h*m*e*d*abad.,Htrapj,http://en.wikipedia.org/wiki/File:AMD2.jpg,Gujarat,GJ,,,,
AMM,Queen Alia International Airport,Amman,Zizya,Jordan,"Named after Queen Alia, third wife to the late King Hussein, Jordan’s largest airport is located in Zizya, 30 km (20 mi) south of the capital city of *Amm*an.",Rajesh Pamnani,https://www.flickr.com/photos/74821492@N00/,,,,,,
AMQ,Bandar Udara Pattimura,Ambon,,Indonesia,"Pattimura Airport is named after Thomas Matulessy, also known as Kapitan Pattimura, Indonesian soldier and national hero. Its airport code comes from the city of *Am*bon plus a ‘*Q*’, often used as a filler letter.",Titus Hageman,https://www.flickr.com/photos/titushageman/,Maluku,,Pattimura Airport,,,
AMS,Luchthaven Schiphol,Amsterdam,Schiphol,Netherlands,"The name “Schiphol” came from the nearby Fort Schiphol, which translates to “ship grave” in English. Its airport code honors the city of *Ams*terdam.",Wayne Taylor,https://www.flickr.com/photos/wonderwheel/,,,,,,
NUP,,,,,,,,,,,,,
PTC,,,,,,,,,,,,,
ANC,Ted Stevens Anchorage International Airport,Anchorage,,USA,"In 2009, Anchorage International was renamed to honor U.S. Senator Ted Stevens, but its airport code still honors its home in *Anc*horage.",Frank Kovalchek,https://www.flickr.com/photos/72213316@N00/,Alaska,AK,,,,
ANG,Aéroport international d'Angoulême-Cognac,Angoulême,Champniers,France,Angoulême – Cognac International is located between Brie and Champniers and serves the city of *Ang*oulême.,Jack ma,https://commons.wikimedia.org/wiki/File:Angou_airport5.JPG,,,,,,
ANR,Internationale Luchthaven Antwerpen,Antwerp,Deurne,Belgium,Antwerp International is a small scale airport serving Belgium’s second biggest city. Its airport code refers directly to the city of *An*twe*r*p.,Stijn Hosdez,https://www.flickr.com/photos/shosdez/,,,,,,
ANS,Aeropuerto Andahuaylas,Andahuaylas,,Peru,Andahuaylas Airport is the only airport in the Apurímac Region that serves commercial flights. Its three-letter code comes from the city of *An*dahuayla*s*.,AgainErick,https://commons.wikimedia.org/wiki/File:Airport_Andahuaylas_Peru.jpg,Apurímac,,,,,
ANU,V. C. Bird International Airport,Saint John’s,,Antigua and Barbuda,"Built in 1942 by the U.S. Army as Coolidge Airfield, V. C. Bird International was renamed in 1985 in honor of the country’s first Prime Minister, Vere Cornwall Bird Sr. Its airport code comes from the island’s name, *An*tig*u*a.",Lee Bryant,https://www.flickr.com/photos/alihodza/,,,,,,
AOI,"Aeroporto Raffaello Sanzio di Ancona-Falconara ",Ancona,Falconara Marittima,Italy,"Raffaello Sanzio Airport is named after the famous Renaissance artist, internationally known as Raphael. Located in Falconara Marittima, it serves the city of *A*nc*o*na, *I*taly.",Turismo Marche,https://www.flickr.com/photos/turismomarche/,,,,,,
APA,Centennial Airport,Denver,Aurora,USA,Centennial Airport serves the Denver-Aurora metro area in Colorado. It is located in the town of Dove Valley and was previously known *A*ra*pa*hoe County Airport.,Jeffrey Beall,https://www.flickr.com/photos/denverjeffrey/,Colorado,CO,,,,
APW,Faleolo International Airport,Apia,,Samoa,"Faleolo Airport was built during World War II by the U.S. Navy. Its airport code comes from the capital city of *Ap*ia and the country’s name at the time of its designation, *W*estern Samoa.",Dave Lonsdale,https://www.flickr.com/photos/davelonsdale/,,,,,,
AQJ,King Hussein International Airport,Aqaba,,Jordan,"King Hussein International is located within a 15-mile radius of Egypt, Saudi Arabia, and Israel. Its airport code honors its home in the city of *Aq*aba, *J*ordan.",M7madameenwik,http://commons.wikimedia.org/wiki/File:King_hussein_international_airport.jpg,,,,,,
AQP,Aeropuerto Internacional Alférez Alfredo Rodríguez Ballón,Arequipa,,Peru,Alfredo Rodríguez Ballón International shares its name with the Peruvian aviator. Its airport code honors its home in the city of *A*re*q*ui*p*a.,Goss Nuzzo-Jones,https://www.flickr.com/photos/gossnj/,,,Alférez Alfredo Rodríguez Ballón International Airport,,,
